"","Species","ln_mass"
"Aaptoryctes_ivyi","Aaptoryctes_ivyi",4.97347213825
"Absarokius_abbotti","Absarokius_abbotti",5.99982612983333
"Absarokius_metoecus","Absarokius_metoecus",5.93435555309091
"Acarictis_ryani","Acarictis_ryani",5.73293458644444
"Achaenodon_robustus","Achaenodon_robustus",13.10806328
"Achlyoscapter_longirostris","Achlyoscapter_longirostris",2.479894108
"Acmeodon_secans","Acmeodon_secans",5.784932262
"Acritohippus_isonesus","Acritohippus_isonesus",11.82000001
"Acritohippus_quinni","Acritohippus_quinni",12.09000002
"Acritoparamys_atavus","Acritoparamys_atavus",3.86030857
"Acritoparamys_atwateri","Acritoparamys_atwateri",5.07633544375
"Acritoparamys_francesi","Acritoparamys_francesi",4.856209101625
"Acritoparamys_pattersoni","Acritoparamys_pattersoni",6.06984558766667
"Acritoparamys_wyomingensis","Acritoparamys_wyomingensis",5.6129307965
"Adeloblarina_berklandi","Adeloblarina_berklandi",2.540025949
"Adelphailurus_kansensis","Adelphailurus_kansensis",10.40999999
"Adilophontes_brachykolos","Adilophontes_brachykolos",11.69000003
"Adjidaumo_burkei","Adjidaumo_burkei",1.591273942
"Adjidaumo_craigi","Adjidaumo_craigi",1.986503546
"Adjidaumo_intermedius","Adjidaumo_intermedius",2.340843805
"Adjidaumo_maximus","Adjidaumo_maximus",3.002707887
"Adjidaumo_minimus","Adjidaumo_minimus",1.986503546
"Adjidaumo_minutus","Adjidaumo_minutus",2.766319109
"Adunator_ladae","Adunator_ladae",2.8470843545
"Aelurodon_asthenostylus","Aelurodon_asthenostylus",10.00000019
"Aelurodon_ferox","Aelurodon_ferox",10.1800001
"Aelurodon_mcgrewi","Aelurodon_mcgrewi",10.0100002
"Aelurodon_montanensis","Aelurodon_montanensis",10.23
"Aelurodon_stirtoni","Aelurodon_stirtoni",9.929999972
"Aelurodon_taxoides","Aelurodon_taxoides",10.28999985
"Aepinacodon_americanus","Aepinacodon_americanus",12.95659798
"Aepycamelus_bradyi","Aepycamelus_bradyi",13.1547615
"Aepycamelus_giraffinus","Aepycamelus_giraffinus",13.12046211
"Aepycamelus_robustus","Aepycamelus_robustus",12.95000001
"Aepycamelus_stocki","Aepycamelus_stocki",12.76
"Aethomylos_simplicidens","Aethomylos_simplicidens",3.416098441
"Ageitodendron_matthewi","Ageitodendron_matthewi",5.803929423
"Agriochoerus_antiquus","Agriochoerus_antiquus",10.93999994
"Agriochoerus_guyotianus","Agriochoerus_guyotianus",10.98529272
"Agriotherium_schneideri","Agriotherium_schneideri",12.77999999
"Alagomys_russelli","Alagomys_russelli",1.580579536
"Aletodon_conardae","Aletodon_conardae",6.79250430766667
"Aletodon_gunnelli","Aletodon_gunnelli",7.05011141781818
"Aletodon_quadravus","Aletodon_quadravus",6.3723462574
"Aletomeryx_gracilis","Aletomeryx_gracilis",10.21000009
"Alforjas_taylori","Alforjas_taylori",12.91999999
"Alilepus_vagus","Alilepus_vagus",5.416633593
"Alilepus_wilsoni","Alilepus_wilsoni",4.71357606
"Allomys_cristabrevis","Allomys_cristabrevis",5.479471576
"Allomys_simplicidens","Allomys_simplicidens",4.804021045
"Allomys_storeri","Allomys_storeri",4.530985288
"Alluvisorex_arcadentes","Alluvisorex_arcadentes",1.740466175
"Alphagaulus_pristinus","Alphagaulus_pristinus",6.255750042
"Alphagaulus_vetus","Alphagaulus_vetus",6.260002026
"Alticonus_gazini","Alticonus_gazini",7.039239578
"Alveojunctus_minutus","Alveojunctus_minutus",3.995187246
"Alveugena_carbonensis","Alveugena_carbonensis",6.703666526
"Alwoodia_harkseni","Alwoodia_harkseni",5.684565676
"Alwoodia_magna","Alwoodia_magna",5.420534999
"Amebelodon_floridanus","Amebelodon_floridanus",17.42699015
"Amelotabes_simpsoni","Amelotabes_simpsoni",4.045854353
"Ammospermophilus_hanfordi","Ammospermophilus_hanfordi",4.060443011
"Ammospermophilus_junturensis","Ammospermophilus_junturensis",3.980055416
"Amphechinus_horncloudi","Amphechinus_horncloudi",5.169972501
"Amphicaenopus_platycephalus","Amphicaenopus_platycephalus",14.69
"Amphicyon_frendens","Amphicyon_frendens",12.40999998
"Amphicyon_galushai","Amphicyon_galushai",11.83999997
"Amphicyon_ingens","Amphicyon_ingens",13.30468493
"Amphicyon_longiramus","Amphicyon_longiramus",11.63999996
"Amphicyon_riggsi","Amphicyon_riggsi",12.94418879
"Amphimachairodus_coloradensis","Amphimachairodus_coloradensis",11.96493988
"Ampliconus_antoni","Ampliconus_antoni",7.974605106
"Amynodon_advenus","Amynodon_advenus",14.50214164
"Amynodon_reedi","Amynodon_reedi",13.26906613
"Amynodontopsis_bodei","Amynodontopsis_bodei",13.31814303
"Anaptomorphus_aemulus","Anaptomorphus_aemulus",5.1839868755
"Anaptomorphus_westi","Anaptomorphus_westi",6.22914756866667
"Anasazia_williamsoni","Anasazia_williamsoni",5.226982469
"Anchitherium_clarencei","Anchitherium_clarencei",12.34999999
"Anconodon_cochranensis","Anconodon_cochranensis",4.03435042266667
