Species,posture,npose
Absarokius_gazini,plantigrade,1
Acritoparamys_atwateri,plantigrade,1
Alagomys_russelli,plantigrade,1
Aletodon_conardae,plantigrade,1
Aletodon_gunnelli,plantigrade,1
Anacodon_nexus,plantigrade,1
Apatemys_chardini,plantigrade,1
Apheliscus_chydaeus,plantigrade,1
Apheliscus_nitidus,plantigrade,1
Arctodontomys_simplicidens,plantigrade,1
Arctodontomys_wilsoni,plantigrade,1
Azygonyx_ancylion,plantigrade,1
Azygonyx_grangeri,plantigrade,1
Azygonyx_xenicus,plantigrade,1
Barylambda_jackwilsoni,plantigrade,1
Cantius_mckennai,plantigrade,1
Cantius_ralstoni,plantigrade,1
Cantius_torresi,plantigrade,1
Carpolestes_nigridens,plantigrade,1
Carpolestes_simpsoni,plantigrade,1
Ceutholestes_dolosus,plantigrade,1
Chalicomomys_willwoodensis,plantigrade,1
Chiromyoides_potior,plantigrade,1
Chriacus_badgleyi,plantigrade,1
Copedelphys_innominata,plantigrade,1
Diacodon_alticuspis,plantigrade,1
Didelphodus_absarokae,plantigrade,1
Dillerlemur_pagei,plantigrade,1
Ectypodus_powelli,plantigrade,1
Ectypodus_simpsoni,plantigrade,1
Ectypodus_tardus,plantigrade,1
Ellesmene_eureka,plantigrade,1
Esthonyx_gunnelli,plantigrade,1
Esthonyx_spatularius,plantigrade,1
Franimys_amherstensis,plantigrade,1
Haplomylus_bozemanensis,plantigrade,1
Haplomylus_scottianus,plantigrade,1
Haplomylus_simpsoni,plantigrade,1
Haplomylus_speirianus,plantigrade,1
Haplomylus_zalmouti,plantigrade,1
Ignacius_graybullianus,plantigrade,1
Koniaryctes_paulus,plantigrade,1
Labidolemur_kayi,plantigrade,1
Labidolemur_serus,plantigrade,1
Leipsanolestes_siegfriedti,plantigrade,1
Limaconyssus_habrus,plantigrade,1
Loveina_wapitiensis,plantigrade,1
Macrocranion_junnei,plantigrade,1
Macrocranion_nitens,plantigrade,1
Microcosmodon_conus,plantigrade,1
Microcosmodon_rosei,plantigrade,1
Microparamys_cheradius,plantigrade,1
Microparamys_hunterae,plantigrade,1
Microsyops_angustidens,plantigrade,1
Microsyops_cardiorestes,plantigrade,1
Mimoperadectes_labrus,plantigrade,1
Neoliotomus_conventus,plantigrade,1
Neoliotomus_ultimus,plantigrade,1
Niptomomys_doreenae,plantigrade,1
Palaeoryctes_punctatus,plantigrade,1
Palaeosinopa_didelphoides,plantigrade,1
Palaeosinopa_lutreola,plantigrade,1
Paramys_adamus,plantigrade,1
Paramys_excavatus,plantigrade,1
Paramys_taurus,plantigrade,1
Parectypodus_laytoni,plantigrade,1
Parectypodus_lunatus,plantigrade,1
Pelycodus_jarrovii,plantigrade,1
Peradectes_chesteri,plantigrade,1
Peradectes_protinnominatus,plantigrade,1
Phenacolemur_fortior,plantigrade,1
Phenacolemur_praecox,plantigrade,1
Phenacolemur_simonsi,plantigrade,1
Plagioctenodon_krausae,plantigrade,1
Plagioctenodon_rosei,plantigrade,1
Plagioctenodon_savagei,plantigrade,1
Plagiomene_accola,plantigrade,1
Plagiomene_multicuspis,plantigrade,1
Planetetherium_mirabile,plantigrade,1
Plesiadapis_cookei,plantigrade,1
Plesiadapis_dubius,plantigrade,1
Plesiadapis_gingerichi,plantigrade,1
Princetonia_yalensis,plantigrade,1
Prochetodon_taxus,plantigrade,1
Thryptacodon_antiquus,plantigrade,1
Thryptacodon_barae,plantigrade,1
Thryptacodon_pseudarctos,plantigrade,1
Tinimomys_graybulliensis,plantigrade,1
Tinimomys_loomisi,plantigrade,1
Titanoides_nanus,plantigrade,1
Worlandia_inusitata,plantigrade,1
Wyolestes_apheles,plantigrade,1
Wyolestes_iglesius,plantigrade,1
Wyonycteris_chalix,plantigrade,1
Coryphodon_eocaenus,graviportal,2
Coryphodon_proterus,graviportal,2
Arctostylops_steini,protounguligrade,5
Copecion_brachypternus,protounguligrade,5
Copecion_davisi,protounguligrade,5
Dissacus_praenuntius,protounguligrade,5
Ectocion_osbornianus,protounguligrade,5
Ectocion_parvus,protounguligrade,5
Ectoganus_bighornensis,protounguligrade,5
Ectoganus_copei,protounguligrade,5
Ectoganus_gliriformis,protounguligrade,5
Ectoganus_lobdelli,protounguligrade,5
Meniscotherium_chamense,protounguligrade,5
Meniscotherium_tapiacitum,protounguligrade,5
Pachyaena_gigantea,protounguligrade,5
Pachyaena_gracilis,protounguligrade,5
Pachyaena_ossifraga,protounguligrade,5
Phenacodus_intermedius,protounguligrade,5
Phenacodus_trilobatus,protounguligrade,5
Phenacodus_vortmani,protounguligrade,5
Probathyopsis_harrisorum,protounguligrade,5
Probathyopsis_praecursor,protounguligrade,5
Arenahippus_aemulor,unguligrade,6
Arenahippus_pernix,unguligrade,6
Bunophorus_pattersoni,unguligrade,6
Diacocherus_minutus,unguligrade,6
Diacodexis_gracilis,unguligrade,6
Diacodexis_ilicis,unguligrade,6
Diacodexis_primus,unguligrade,6
Homogalax_protapirinus,unguligrade,6
Hyracotherium_index,unguligrade,6
Sifrhippus_grangeri,unguligrade,6
Sifrhippus_sandrae,unguligrade,6
Acarictis_ryani,protodigitigrade,3
Arfia_junnei,protodigitigrade,3
Arfia_opisthotoma,protodigitigrade,3
Arfia_shoshoniensis,protodigitigrade,3
Arfia_zele,protodigitigrade,3
Dipsalidictis_aequidens,protodigitigrade,3
Dipsalidictis_krausei,protodigitigrade,3
Dipsalidictis_platypus,protodigitigrade,3
Dipsalidictis_transiens,protodigitigrade,3
Dipsalodon_churchillorum,protodigitigrade,3
Dipsalodon_matthewi,protodigitigrade,3
Galecyon_mordax,protodigitigrade,3
Gracilocyon_rosei,protodigitigrade,3
Gracilocyon_winkleri,protodigitigrade,3
Miacis_deutschi,protodigitigrade,3
Miacis_exiguus,protodigitigrade,3
Oxyaena_gulo,protodigitigrade,3
Oxyaena_intermedia,protodigitigrade,3
Palaeonictis_occidentalis,protodigitigrade,3
Palaeonictis_peloria,protodigitigrade,3
Palaeonictis_wingi,protodigitigrade,3
Prolimnocyon_atavus,protodigitigrade,3
Prolimnocyon_eerius,protodigitigrade,3
Prolimnocyon_haematus,protodigitigrade,3
Prototomus_deimos,protodigitigrade,3
Prototomus_martis,protodigitigrade,3
Prototomus_phobos,protodigitigrade,3
Prototomus_robustus,protodigitigrade,3
Uintacyon_gingerichi,protodigitigrade,3
Uintacyon_massetericus,protodigitigrade,3
Uintacyon_rudis,protodigitigrade,3
Didymictis_leptomylus,digitigrade,4
Didymictis_protenus,digitigrade,4
Didymictis_proteus,digitigrade,4
Prodiacodon_tauricinerei,digitigrade,4
Viverravus_acutus,digitigrade,4
Viverravus_laytoni,digitigrade,4
