"","V1","V2"
"Acarictis_ryani",0.021699,0.0161895
"Acritoparamys_atwateri",-0.075452,0.077695
"Aletodon_gunnelli",0.099382,0.081844
"Apheliscus_chydaeus",0.11885,-0.045316
"Apheliscus_nitidus",0.099382,0.081844
"Arctodontomys_simplicidens",0.099382,0.081844
"Arctodontomys_wilsoni",0.0257607058823529,-0.0111554941176471
"Arctostylops_steini",0.099382,0.081844
"Arenahippus_aemulor",0.11885,-0.045316
"Arenahippus_pernix",0.11885,-0.045316
"Arfia_junnei",-0.170797333333333,0.0295872666666667
"Arfia_opisthotoma",0.11885,-0.045316
"Arfia_shoshoniensis",0.11885,-0.045316
"Arfia_zele",0.11885,-0.045316
"Azygonyx_ancylion",0.099382,0.081844
"Azygonyx_grangeri",0.0864087826086957,0.072997452173913
"Cantius_mckennai",0.11885,-0.045316
"Cantius_ralstoni",0.11885,-0.045316
"Cantius_torresi",-0.170797333333333,0.0295872666666667
"Cardiolophus_radinskyi",0.11885,-0.045316
"Chalicomomys_willwoodensis",0.11885,-0.045316
"Chriacus_badgleyi",-0.191654125,0.0190637
"Copecion_brachypternus",0.11885,-0.045316
"Copecion_davisi",-0.171174552,0.029584192
"Coryphodon_eocaenus",-0.075452,0.077695
"Coryphodon_proterus",0.099382,0.081844
"Cyriacotherium_psamminum",0.099382,0.081844
"Deltatherium_absarokae",0.11885,-0.045316
"Diacocherus_minutus",0.099382,0.081844
"Diacodexis_ilicis",-0.198038857142857,0.0158422
"Didymictis_leptomylus",-0.08729,-0.0142413666666667
"Didymictis_protenus",0.101977733333333,0.0648893333333333
"Didymictis_proteus",0.07752775,0.081325375
"Dillerlemur_pagei",0.099382,0.081844
"Dipsalidictis_aequidens",0.099382,0.081844
"Dipsalidictis_krausei",0.099382,0.081844
"Dipsalidictis_platypus",-0.0189225,0.0299391
"Dipsalidictis_transiens",0.0864663333333333,-0.0248141666666667
"Dissacus_praenuntius",0.0187827142857143,0.0651953714285714
"Ectocion_osbornianus",0.0946841935483871,0.0755572580645161
"Ectocion_parvus",-0.170633181818182,0.0196224272727273
"Ectoganus_bighornensis",-0.194633666666667,0.0175603333333333
"Ectoganus_lobdelli",-0.21847,0.0055334
