NALMA,Site,Long,Lat
Cf2,SLW9901,-109.073976,44.871886
Cf3,SLW9819,-109.0734891,44.83835676
Wa0,PS2125,-109.0458667,44.82218333
Wa0,PS2113,-109.0458167,44.82218333
Wa0,SLW1702,-109.011237,44.78700444
Cf3,PS2032,-109.011146,44.78789401
Cf3,SLW1704,-108.9986874,44.78080736
Cf3,PS2023 ,-108.993156,44.77992802
Wa0,PS2022,-108.990665,44.78031702
Wa0,PS1607 & PS1606,-108.9861556,44.77323499
Cf3,SLW1612,-108.9808702,44.78251484
Ti4,PW0203,-108.756123,44.84873
Wa-4,DCF,-108.228314,44.34133382
Wa0,SLW2003 & PS2005,-108.16665,43.94015
Wa-4,LB,-108.1322297,44.26154369
Wa1/2,SLW8830,-108.05156,44.279751
Cf3,PS2020,-107.872584,44.15714297
Wa1/2,SLW1001,-107.870444,44.139086
Wa1/2,SLW1011,-107.8600893,44.1429789
Cf3,SLW0714,-107.73445,44.0277
Wa0,PS2132,-107.72007,44.01696
Wa0,SLW1006,-107.716158,44.018178
Wa1/2,SLW0812,-107.715655,44.007153
Wa0,SLW1010-Q/L,-107.655468,43.948162
Wa0,SLW0410-GG,-107.655468,43.948162
Wa1/2,SLW0307,-107.65194,43.95796
Wa1/2,SLW0306,-107.65118,43.9575
Wa0,SLW0601,-107.618638,43.945002
Wa0,PS0504,-107.617224,43.934464
Wa1/2,SLW0603,-107.60786,43.932183
Wa1/2,SLW0602,-107.607436,43.931102
Wa1/2,RSB1511,-107.5982727,43.92342006
Wa0,SLW0606,-107.596005,43.9204
Wa1/2,SLW0907,-107.5929629,43.932154
Cf2,SLW9417,-107.569856,43.946261
Cf3,SLW9432,-107.849089,44.159377
Wa1/2,SLW9145,-108.086671,44.293994
Wa1/2,SLW9143,-108.095333,44.301167
Ti6,LJH7871,-109.030963,44.907049
Wa1/2,SLW9911,-109.108137,44.805188
