Site,NALMA,Long,Lat
SLW0907,Wa1/2,-107.593,43.932
SLW0306,Wa1/2,-107.651,43.958
SLW1001,Wa1/2,-107.870,44.139
SLW1011,Wa1/2,-107.860,44.143
RSB1511,Wa1/2,-107.598,43.923
SLW0602,Wa1/2,-107.607,43.931
SLW0603,Wa1/2,-107.608,43.932
SLW0307,Wa1/2,-107.652,43.958
SLW0812,Wa1/2,-107.716,44.007
SLW0606,Wa0,-107.596,43.920
SLW1006,Wa0,-107.728,44.018
PS1607 & PS1606,Wa0,-108.986,44.773
PS2202,Wa0, -108.987,44.774
PS2132,Wa0,-107.720,44.017
SLW0601,Wa0,-107.619,43.945
SLW1010-Q/L,Wa0,-107.655,43.948
PS2125 + PS2113,Wa0,-109.046,44.822
SLW1702,Wa0,-109.011,44.787
SLW2003 & PS2005,Wa0,-108.167,43.940
PS2022,Wa0,-108.991,44.780
SLW0410-GG,Wa0,-107.655,43.948
PS0504,Wa0,-107.617,43.934
PS2032,Cf3,-109.011,44.788
PS2023,Cf3,-108.993,44.780
SLW0714,Cf3,-107.734,44.028
SLW1704,Cf3,-108.999,44.781
PS2020,Cf3,-107.873,44.157
SLW1612,Cf3,-108.981,44.783
SLW9819,Cf3,-109.073,44.838
SLW9432,Cf3,-107.849,44.159
