Site,NMDS1,NMDS2
SLW0907,0.11893,-0.028636
SLW0306,0.19319,-0.081507
SLW1001,0.11885,-0.045316
SLW1011,0.10275,-0.045153
RSB1511,0.061516,-0.11587
SLW0602,0.12261,-0.15716
SLW0603,0.14241,-0.1213
SLW0307,0.060509,-0.091338
SLW0812,0.0076795,-0.1245
SLW0606,-0.09688,-0.10964
SLW1006,-0.21847,0.0055334
PS1607 & PS1606,-0.075452,0.077695
PS2202,-0.053532,0.073954
PS2132,-0.18074,-0.083949
SLW0601,-0.18068,0.074351
SLW1010-Q/L,-0.18058,0.061594
PS2125 + PS2113,-0.11462,0.072297
SLW1702,-0.13876,0.093921
SLW2003 & PS2005,-0.20043,0.010187
PS2022,-0.12914,0.10485
SLW0410-GG,-0.24299,-0.13632
PS0504,-0.27432,-0.075196
PS2032,0.0019582,0.10707
PS2023,0.099382,0.081844
SLW0714,0.10208,0.11192
SLW1704,0.060927,0.12818
PS2020,0.24552,0.0015295
SLW1612,0.17584,0.060411
SLW9819,0.20858,0.10901
SLW9432,0.26385,0.041542
